Cod IBGE;Localidades;Área (Em km2);População;Densidade Demográfica (Habitantes/km2);Grau de Urbanização (Em %);Hab./Domicílio;Total H;Total M;00 a 14;15 a 29;30 a 59;60 e mais
3500105;Adamantina;411,99;33.869;82,21;96,5;2,73;16310;17559;5196;6468;14620;7585
3500204;Adolfo;211,06;3.436;16,28;92,67;2,67;1699;1737;518;688;1452;778
3500303;Aguaí;474,55;35.885;75,62;92,38;2,93;18021;17864;7077;8203;15190;5415
3500402;Águas da Prata;142,67;7.807;54,72;92,42;2,79;3834;3973;1163;1579;3295;1770
3500501;Águas de Lindóia;60,13;18.438;306,64;99,1;2,9;8972;9466;3529;3721;7830;3358
3500550;Águas de Santa Bárbara;404,46;5.957;14,73;77,93;2,76;2912;3045;1130;1327;2369;1131
3500600;Águas de São Pedro;3,61;3.144;870,91;100;2,68;1479;1665;468;639;1256;781
3500709;Agudos;966,71;36.255;37,5;96,41;3,01;17869;18386;6934;8141;15484;5696
3500758;Alambari;159,6;5.856;36,69;82,41;2,85;2921;2935;1104;1514;2385;853
3500808;Alfredo Marcondes;118,92;3.924;33;91;2,67;1999;1925;553;784;1666;921
3500907;Altair;313,01;4.052;12,95;85,02;2,77;2148;1904;755;910;1816;571
3501004;Altinópolis;928,96;15.547;16,74;92,11;2,86;7727;7820;2629;3343;6528;3047
3501103;Alto Alegre;318,57;4.006;12,57;85,45;2,73;2045;1961;586;749;1691;980
3501152;Alumínio;83,66;18.069;215,98;83,87;2,96;9067;9002;3690;4231;7825;2323
3501202;Álvares Florence;362,41;3.596;9,92;74,05;2,48;1818;1778;419;656;1514;1007
3501301;Álvares Machado;347,65;23.828;68,54;91,41;2,79;11696;12132;3979;5364;10086;4399
3501400;Álvaro de Carvalho;153,66;5.079;33,05;67,79;4,41;3159;1920;845;1606;2033;595
3501509;Alvinlândia;84,88;3.190;37,58;92,38;3,05;1573;1617;692;729;1253;516
3501608;Americana;133,91;235.075;1755,47;99,53;2,82;114935;120140;38189;47202;107811;41873
3501707;Américo Brasiliense;122,79;40.676;331,26;99,24;2,93;20312;20364;8379;9461;18155;4681
3501806;Américo de Campos;252,88;5.730;22,66;87,89;2,64;2861;2869;848;1171;2417;1294
3501905;Amparo;445,32;69.861;156,88;84,65;2,88;34288;35573;11186;14079;31477;13119
3502002;Analândia;325,95;4.895;15,02;84,21;2,84;2497;2398;884;1136;2037;838
3502101;Andradina;964,23;56.087;58,17;94,38;2,81;27456;28631;9477;11346;24199;11065
3502200;Angatuba;1027,29;24.697;24,04;75,11;2,85;12392;12305;4763;5810;10211;3913
3502309;Anhembi;736,56;6.755;9,17;79,08;2,9;3437;3318;1318;1739;2692;1006
3502408;Anhumas;320,84;3.983;12,41;88,2;2,89;1981;2002;672;927;1683;701
3502507;Aparecida;121,08;35.744;295,21;98,55;3,03;17199;18545;6605;7451;15451;6237
3502606;Aparecida d'Oeste;179;4.105;22,93;87,24;2,65;1987;2118;600;832;1665;1008
3502705;Apiaí;974,32;24.711;25,36;81,8;2,93;12318;12393;5059;6369;9474;3809
3502754;Araçariguama;145,2;21.289;146,62;100;3,05;10761;10528;4956;5368;8670;2295
3502804;Araçatuba;1167,13;190.921;163,58;98,07;2,72;91563;99358;31060;37525;85927;36409
3502903;Araçoiaba da Serra;255,33;32.846;128,64;68,74;2,96;16228;16618;6413;7766;13396;5271
3503000;Aramina;202,83;5.515;27,19;96,46;2,83;2749;2766;948;1160;2394;1013
3503109;Arandu;285,91;6.168;21,57;83,12;2,85;3099;3069;1135;1479;2495;1059
3503158;Arapeí;156,9;2.469;15,74;77,93;2,81;1232;1237;450;570;998;451
3503208;Araraquara;1003,63;228.792;227,96;97,16;2,75;110380;118412;37145;46458;103657;41532
3503307;Araras;644,83;131.931;204,6;95,26;2,92;64773;67158;22079;28000;59466;22386
3503356;Arco-Íris;264,9;1.806;6,82;64,84;2,73;900;906;291;361;735;419
3503406;Arealva;504,97;8.223;16,28;84,32;2,75;4130;4093;1330;1756;3324;1813
3503505;Areias;305,23;3.860;12,65;67,05;3,12;1909;1951;809;975;1500;576
3503604;Areiópolis;85,91;10.900;126,88;92,97;3,01;5577;5323;2250;2598;4692;1360
3503703;Ariranha;132,62;9.378;70,71;94,7;2,88;4740;4638;1660;2009;4196;1513
3503802;Artur Nogueira;178,03;53.224;298,96;90,54;2,88;26412;26812;9770;12553;23834;7067
3503901;Arujá;96,17;90.958;945,8;96,33;3,15;44839;46119;19630;22237;37818;11273
3503950;Aspásia;69,37;1.760;25,37;75,4;2,7;879;881;255;351;742;412
3504008;Assis;460,61;101.825;221,07;95,63;2,8;49587;52238;17369;21450;44274;18732
3504107;Atibaia;478,52;140.589;293,8;93,87;3,03;68910;71679;27355;30772;59788;22674
3504206;Auriflama;434,5;14.478;33,32;93,59;2,68;7180;7298;2156;2948;6462;2912
3504305;Avaí;540,69;5.314;9,83;67,14;2,79;2654;2660;971;1311;2151;881
3504404;Avanhandava;338,37;12.188;36,02;84,55;3,31;6673;5515;2328;3387;4876;1597
3504503;Avaré;1213,06;87.854;72,42;96,61;2,86;43484;44370;16107;19493;37433;14821
3504602;Bady Bassitt;110,37;16.441;148,96;93,91;2,77;8164;8277;2642;3642;7496;2661
3504701;Balbinos;91,64;3.707;40,45;32,18;7,52;2980;727;231;1470;1698;308
3504800;Bálsamo;149,88;8.542;56,99;93,32;2,72;4157;4385;1318;1637;3824;1763
3504909;Bananal;616,43;10.691;17,34;84,85;2,83;5270;5421;2059;2380;4298;1954
3505005;Barão de Antonina;153,14;3.407;22,25;63,99;2,81;1721;1686;638;831;1283;655
3505104;Barbosa;205,21;7.345;35,79;85,64;2,95;3681;3664;1459;1782;2946;1158
3505203;Bariri;444,41;34.180;76,91;96,49;2,89;17033;17147;5871;7631;14446;6232
3505302;Barra Bonita;150,12;34.864;232,24;98,16;2,81;16979;17885;5295;6669;16064;6836
3505351;Barra do Chapéu;405,68;5.561;13,71;29,44;2,99;2899;2662;1211;1438;2087;825
3505401;Barra do Turvo;1007,68;7.709;7,65;47,28;2,98;3977;3732;1787;2039;2591;1292
3505500;Barretos;1566,16;118.419;75,61;96,95;2,8;57275;61144;20106;24642;52814;20857
3505609;Barrinha;146,03;32.658;223,64;98,89;2,92;16344;16314;7107;7739;14314;3498
3505708;Barueri;65,7;266.236;4052,3;100;3,01;129518;136718;62862;58481;114001;30892
3505807;Bastos;170,91;20.296;118,75;88,88;2,88;9910;10386;3743;4346;8532;3675
3505906;Batatais;849,53;60.502;71,22;88,44;2,86;29661;30841;10189;13056;26158;11099
3506003;Bauru;667,68;365.523;547,45;98,33;2,81;177109;188414;62316;77197;161521;64489
3506102;Bebedouro;683,19;73.969;108,27;96,22;2,81;35926;38043;12164;15383;32264;14158
3506201;Bento de Abreu;301,69;2.966;9,83;95,82;2,8;1499;1467;541;657;1302;466
3506300;Bernardino de Campos;244,16;10.793;44,2;91,64;2,86;5246;5547;1974;2309;4308;2202
3506359;Bertioga;491,55;64.526;131,27;99,11;2,97;32002;32524;15191;16147;26526;6662
3506409;Bilac;158,03;7.855;49,71;94,51;2,71;3866;3989;1162;1637;3497;1559
3506508;Birigui;530,03;122.161;230,48;97,39;2,74;59350;62811;19727;25747;55967;20720
3506607;Biritiba Mirim;317,41;32.683;102,97;87,37;3,06;16394;16289;6753;8129;13272;4529
3506706;Boa Esperança do Sul;690,75;14.658;21,22;92,13;2,9;7316;7342;2892;3467;6196;2103
3506805;Bocaina;363,93;12.243;33,64;93,57;2,97;6072;6171;2226;2785;5351;1881
3506904;Bofete;653,54;11.194;17,13;63,76;2,82;5622;5572;2136;2799;4273;1986
3507001;Boituva;248,95;57.987;232,93;94,07;2,91;29004;28983;11210;13223;25823;7731
3507100;Bom Jesus dos Perdões;108,37;24.625;227,23;91,3;2,87;12287;12338;4761;6061;10601;3202
3507159;Bom Sucesso de Itararé;133,58;3.894;29,15;75,35;3,19;1959;1935;973;1076;1426;419
3507209;Borá;118,95;811;6,82;77,93;2,9;421;390;133;181;365;132
3507308;Boracéia;122,11;4.798;39,29;91,37;3,07;2436;2362;952;1110;1975;761
3507407;Borborema;552,26;15.370;27,83;94,26;2,75;7727;7643;2491;3208;6781;2890
3507456;Borebi;347,99;2.602;7,48;93,43;2,93;1283;1319;530;650;1052;370
3507506;Botucatu;1482,64;142.092;95,84;96,67;2,81;69051;73041;25492;30751;61598;24251
3507605;Bragança Paulista;512,58;165.241;322,37;98,14;2,98;81024;84217;29806;36410;72230;26795
3507704;Braúna;195,18;5.593;28,66;93,12;2,88;2805;2788;934;1209;2406;1044
3507753;Brejo Alegre;105,69;2.780;26,3;86,26;2,8;1412;1368;442;644;1222;472
3507803;Brodowski;278,46;24.132;86,66;98,84;2,95;11872;12260;4157;5755;10373;3847
3507902;Brotas;1101,37;24.039;21,83;87,01;2,91;11912;12127;4552;5477;10163;3847
3508009;Buri;1195,91;19.819;16,57;83,92;3,07;10043;9776;4786;4990;7405;2638
3508108;Buritama;326,92;16.673;51;96,06;2,72;8297;8376;2854;3484;7307;3028
3508207;Buritizal;266,42;4.323;16,23;84,06;2,67;2198;2125;737;867;1877;842
3508306;Cabrália Paulista;239,97;4.306;17,94;87,34;2,77;2174;2132;784;1044;1766;712
3508405;Cabreúva;260,23;50.112;192,57;89,98;3,05;25163;24949;10556;12486;21464;5606
3508504;Caçapava;368,99;91.646;248,37;85,56;3,06;45234;46412;17419;19593;39849;14785
3508603;Cachoeira Paulista;287,99;32.381;112,44;83,65;2,98;15804;16577;5890;7076;13847;5568
3508702;Caconde;468,21;18.893;40,35;72,14;2,94;9384;9509;3438;4523;7378;3554
3508801;Cafelândia;920,28;17.286;18,78;90,32;2,85;8506;8780;3157;3659;7297;3173
3508900;Caiabu;253,35;4.104;16,2;85,79;2,66;2103;2001;732;852;1725;795
3509007;Caieiras;97,64;101.748;1042,07;98,31;3;49841;51907;19862;24465;44707;12714
3509106;Caiuá;551,16;5.642;10,24;38,3;2,83;2911;2731;882;1409;2338;1013
3509205;Cajamar;131,39;78.786;599,63;98,86;2,92;39214;39572;17305;19062;34305;8114
3509254;Cajati;454,44;29.116;64,07;74,27;2,98;14647;14469;6633;7425;11046;4012
3509304;Cajobi;176,93;10.124;57,22;95,05;2,76;5142;4982;1570;2130;4534;1890
3509403;Cajuru;660,09;25.850;39,16;89,42;2,92;12874;12976;5171;6007;10641;4031
3509452;Campina do Monte Alegre;185,03;5.832;31,52;88,39;2,77;2936;2896;1146;1383;2355;948
3509502;Campinas;794,57;1.181.555;1487,04;98,28;2,81;570167;611388;205068;244517;532803;199167
3509601;Campo Limpo Paulista;79,4;83.530;1052,02;100;2,99;40939;42591;16417;19099;36203;11811
3509700;Campos do Jordão;290,52;50.307;173,16;99,38;2,99;24452;25855;10648;11655;21311;6693
3509809;Campos Novos Paulista;484,2;4.841;10;83,08;2,77;2475;2366;911;1151;1931;848
3509908;Cananéia;1237,35;12.379;10;86,89;3,01;6159;6220;2663;3041;4587;2088
3509957;Canas;53,26;5.120;96,13;96,35;3,23;2570;2550;1141;1269;2064;646
3510005;Cândido Mota;595,81;30.010;50,37;95,11;2,79;14685;15325;5219;6305;12798;5688
3510104;Cândido Rodrigues;70,89;2.672;37,69;85,89;2,82;1304;1368;394;483;1165;630
3510153;Canitar;57,46;5.051;87,9;95,49;3,2;2545;2506;1101;1386;1988;576
3510203;Capão Bonito;1640,23;46.521;28,36;85,29;3,04;23098;23423;9722;11276;18429;7094
3510302;Capela do Alto;169,89;20.828;122,6;87,08;2,99;10656;10172;4153;5314;8635;2726
3510401;Capivari;322,88;54.686;169,37;97,67;3,11;27296;27390;10775;12469;23758;7684
3510500;Caraguatatuba;484,95;117.090;241,45;96,32;2,87;57431;59659;23450;27813;48658;17169
3510609;Carapicuíba;34,55;396.447;11474,59;100;3;192549;203898;86600;86441;170286;53120
3510708;Cardoso;639,25;11.712;18,32;92,06;2,61;5729;5983;1909;2387;4856;2560
3510807;Casa Branca;864,23;29.549;34,19;82,93;3,13;15476;14073;5203;6788;12381;5177
3510906;Cássia dos Coqueiros;191,68;2.486;12,97;77,55;2,82;1261;1225;404;572;996;514
3511003;Castilho;1065,32;20.937;19,65;75,46;2,97;10355;10582;3926;4908;8723;3380
3511102;Catanduva;290,6;117.414;404,04;99,2;2,75;56972;60442;18822;23008;53020;22564
3511201;Catiguá;148,39;7.555;50,91;93,17;2,84;3812;3743;1279;1561;3443;1272
3511300;Cedral;197,84;8.895;44,96;83,24;2,82;4412;4483;1355;1855;3921;1764
3511409;Cerqueira César;511,62;19.350;37,82;92,43;2,88;9519;9831;3709;4616;7889;3136
3511508;Cerquilho;127,8;46.932;367,23;94,82;2,9;23194;23738;8132;10296;21176;7328
3511607;Cesário Lange;190,39;17.360;91,18;67,52;3,1;8959;8401;3264;3809;7747;2540
3511706;Charqueada;175,85;17.075;97,1;91,55;3,05;8642;8433;3294;3945;7358;2478
3511904;Clementina;168,59;8.413;49,9;96,99;2,91;4337;4076;1785;1821;3697;1110
3512001;Colina;422,3;17.606;41,69;95,46;2,9;8655;8951;3021;3753;7712;3120
3512100;Colômbia;728,65;6.048;8,3;75,38;2,94;3050;2998;1194;1343;2567;944
3512209;Conchal;182,79;27.445;150,14;96,83;3,08;13790;13655;5630;6391;11629;3795
3512308;Conchas;466,12;17.203;36,91;85,75;2,89;8583;8620;3363;3766;6945;3129
3512407;Cordeirópolis;137,58;24.615;178,91;89,82;2,94;12342;12273;4565;5509;10884;3657
3512506;Coroados;246,83;5.971;24,19;86,15;2,76;2961;3010;1001;1334;2615;1021
3512605;Coronel Macedo;303,83;4.839;15,93;82,37;2,75;2459;2380;878;1143;1892;926
3512704;Corumbataí;278,62;3.969;14,25;63,29;2,81;1992;1977;680;921;1677;691
3512803;Cosmópolis;154,67;72.215;466,9;92,87;2,93;35858;36357;13775;16908;32306;9226
3512902;Cosmorama;441,68;6.976;15,79;77,35;2,57;3475;3501;992;1322;2969;1693
3513009;Cotia;323,99;251.382;775,89;100;3,09;122984;128398;54468;60017;107122;29775
3513108;Cravinhos;311,42;34.637;111,22;98,59;3,04;17249;17388;6270;7858;15106;5403
3513207;Cristais Paulista;385,23;8.494;22,05;83,74;2,88;4297;4197;1563;1972;3574;1385
3513306;Cruzália;149,33;2.105;14,1;71,69;2,66;1017;1088;344;408;912;441
3513405;Cruzeiro;305,7;80.128;262,11;97,75;3,01;38908;41220;15235;17066;33862;13965
3513504;Cubatão;142,88;130.025;910,03;100;2,84;64526;65499;26346;29601;57565;16513
3513603;Cunha;1407,25;21.660;15,39;63,45;2,77;10973;10687;3790;5085;8804;3981
3513702;Descalvado;753,71;32.516;43,14;92,96;2,89;15969;16547;5213;6723;14557;6023
3513801;Diadema;30,73;405.596;13198,7;100;2,91;196182;209414;84486;92434;178902;49774
3513850;Dirce Reis;88,13;1.715;19,46;83,09;2,64;866;849;270;324;730;391
3513900;Divinolândia;223,75;10.865;48,56;75,99;2,85;5349;5516;1802;2134;4621;2308
3514007;Dobrada;149,73;8.985;60,01;97,77;2,8;4607;4378;1873;2114;3916;1082
3514106;Dois Córregos;632,97;27.151;42,89;96,94;3;13562;13589;5778;5795;11309;4269
3514205;Dolcinópolis;77,94;2.033;26,08;93,85;2,66;1051;982;297;424;838;474
3514304;Dourado;205,87;8.466;41,12;91,73;2,72;4250;4216;1342;1689;3660;1775
3514403;Dracena;487,69;45.088;92,45;92,95;2,82;22165;22923;6999;9322;19383;9384
3514502;Duartina;264,56;11.941;45,14;92,43;2,77;5768;6173;1952;2426;5030;2533
3514601;Dumont;111,38;9.659;86,72;98,25;2,94;4820;4839;1627;2267;4378;1387
3514700;Echaporã;515,26;6.208;12,05;83,04;2,84;3042;3166;1184;1340;2463;1221
3514809;Eldorado;1654,26;15.331;9,27;49,21;3,11;7734;7597;3591;4167;5323;2250
3514908;Elias Fausto;202,36;17.459;86,28;84,61;3,1;8973;8486;3228;4081;7709;2441
3514924;Elisiário;93,98;3.518;37,43;93,43;2,83;1824;1694;564;729;1624;601
3514957;Embaúba;83,13;2.406;28,94;89,07;2,73;1244;1162;400;460;1073;473
3515004;Embu das Artes;70,4;273.266;3881,62;100;3,09;132810;140456;62068;63559;116636;31003
3515103;Embu-Guaçu;155,64;68.565;440,54;97,33;3,05;33894;34671;13899;16722;28534;9410
3515129;Emilianópolis;225,17;3.069;13,63;88,17;2,68;1534;1535;469;624;1334;642
3515152;Engenheiro Coelho;109,94;20.884;189,96;76,45;2,87;10835;10049;4343;5192;9376;1973
3515186;Espírito Santo do Pinhal;389,24;42.639;109,54;91,43;2,91;20833;21806;6992;8837;18775;8035
3515194;Espírito Santo do Turvo;193,67;4.850;25,04;85,53;2,85;2418;2432;1008;1189;1998;655
3515202;Estrela d'Oeste;296,28;8.083;27,28;87,53;2,71;4048;4035;1268;1522;3562;1731
3515301;Estrela do Norte;264,99;2.668;10,07;87,18;2,92;1357;1311;495;618;1122;433
3515350;Euclides da Cunha Paulista;573,89;9.549;16,64;64,61;2,85;4756;4793;1882;2364;3825;1478
3515400;Fartura;429,17;15.679;36,53;83,7;2,84;7564;8115;2866;3410;6413;2990
3515509;Fernandópolis;549,8;66.131;120,28;96,94;2,68;32060;34071;9942;12887;29221;14081
3515608;Fernando Prestes;169,99;5.568;32,75;90,91;2,75;2712;2856;840;1058;2434;1236
3515657;Fernão;100,5;1.656;16,48;61,84;2,78;830;826;277;375;686;318
3515707;Ferraz de Vasconcelos;29,56;195.168;6602,44;95,51;3,02;95326;99842;41718;48670;82661;22119
3515806;Flora Rica;224,71;1.575;7,01;87,75;2,57;780;795;230;339;633;373
3515905;Floreal;204,24;2.842;13,92;85,05;2,54;1392;1450;336;521;1202;783
3516002;Flórida Paulista;524,14;12.060;23,01;78,9;3,06;6603;5457;2000;2966;5005;2089
3516101;Florínea;225,89;2.697;11,94;91,77;2,73;1303;1394;471;576;1080;570
3516200;Franca;605,68;343.801;567,63;98,24;2,9;168053;175748;64095;75741;148281;55684
3516309;Francisco Morato;49;176.346;3598,9;99,8;3,01;87289;89057;40034;45097;71644;19571
3516408;Franco da Rocha;132,78;153.903;1159,08;92,13;3,24;78282;75621;31936;40014;64194;17759
3516507;Gabriel Monteiro;138,68;2.677;19,3;89,32;2,65;1340;1337;379;479;1194;625
3516606;Gália;355,91;6.537;18,37;77,82;2,66;3232;3305;1023;1349;2713;1452
3516705;Garça;555,81;42.385;76,26;93,86;2,87;20571;21814;7238;8868;18050;8229
3516804;Gastão Vidigal;180,57;4.811;26,64;94,1;2,94;2609;2202;920;904;2233;754
3516853;Gavião Peixoto;243,77;4.627;18,98;89,86;2,87;2369;2258;863;1048;2069;647
3516903;General Salgado;494,38;10.632;21,51;88,8;2,67;5274;5358;1666;2066;4687;2213
3517000;Getulina;676,76;10.856;16,04;81,87;3,26;5890;4966;1766;2767;4481;1842
3517109;Glicério;272,8;4.762;17,46;77,36;2,91;2365;2397;879;1047;1934;902
3517208;Guaiçara;277,15;12.045;43,46;93,36;2,96;6028;6017;2349;2766;5143;1787
3517307;Guaimbê;217,81;5.547;25,47;91,47;2,9;2740;2807;1091;1269;2239;948
3517406;Guaíra;1258,47;39.154;31,11;96,89;2,76;19284;19870;6599;8222;17600;6733
3517505;Guapiaçu;325,13;21.060;64,77;91,04;2,8;10583;10477;3408;4464;9704;3484
3517604;Guapiara;408,29;17.832;43,67;42,39;3,01;9006;8826;3807;4467;6705;2853
3517703;Guará;362,18;20.907;57,73;97,67;2,92;10374;10533;4280;4922;8588;3117
3517802;Guaraçaí;569,2;8.400;14,76;82,45;2,75;4132;4268;1410;1612;3551;1827
3517901;Guaraci;641,5;11.050;17,23;93,17;2,84;5599;5451;2182;2452;4711;1705
3518008;Guarani d'Oeste;85,7;1.917;22,37;89,46;2,53;937;980;302;387;808;420
3518107;Guarantã;461,75;6.485;14,04;91,23;2,9;3246;3239;1247;1544;2629;1065
3518206;Guararapes;955,64;32.160;33,65;94,14;2,8;15761;16399;5743;6421;13995;6001
3518305;Guararema;270,82;29.736;109,8;86,05;3,05;14839;14897;6015;7085;12330;4306
3518404;Guaratinguetá;752,64;118.741;157,77;95,38;2,98;57102;61639;21606;24630;51439;21066
3518503;Guareí;567,88;15.844;27,9;57,76;3,58;9489;6355;2372;4641;6808;2023
3518602;Guariba;270,29;39.285;145,34;98,47;2,9;19684;19601;7873;8908;17422;5082
3518701;Guarujá;144,79;318.774;2201,63;99,98;3,04;155283;163491;65608;73907;136082;43177
3518800;Guarulhos;318,68;1.361.862;4273,45;100;3,02;663550;698312;284213;327148;580713;169788
3518859;Guatapará;413,57;7.482;18,09;81,02;3,01;3805;3677;1430;1785;3020;1247
3518909;Guzolândia;252,48;5.134;20,33;89,44;2,77;2590;2544;925;1166;2124;919
3519006;Herculândia;364,25;9.310;25,56;93,8;2,81;4646;4664;1744;2114;3911;1541
3519055;Holambra;65,58;14.711;224,32;85,69;3,08;7437;7274;2950;3323;6471;1967
3519071;Hortolândia;62,42;233.548;3741,56;100;3,03;117291;116257;43960;58953;103096;27539
3519105;Iacanga;547,39;11.410;20,84;88,82;2,94;5832;5578;2038;2513;4984;1875
3519204;Iacri;321,95;6.255;19,43;84,96;2,81;3159;3096;1099;1244;2630;1282
3519253;Iaras;401,38;6.943;17,3;44,49;4,24;4458;2485;1169;1840;3023;911
3519303;Ibaté;290,98;35.044;120,43;96,62;3,04;17852;17192;7074;8180;15478;4312
3519402;Ibirá;271,91;12.132;44,62;93,5;2,75;5997;6135;2117;2456;5286;2273
3519501;Ibirarema;228,23;7.570;33,17;94,04;2,85;3788;3782;1396;1857;3133;1184
3519600;Ibitinga;689,39;58.860;85,38;96,8;2,84;28929;29931;10280;12365;26631;9584
3519709;Ibiúna;1058,08;76.867;72,65;37,09;2,95;38714;38153;15184;18553;31819;11311
3519808;Icém;362,36;8.077;22,29;86,76;2,84;4098;3979;1646;1717;3511;1203
3519907;Iepê;594,97;7.943;13,35;93,13;2,86;3896;4047;1475;1714;3255;1499
3520004;Igaraçu do Tietê;97,75;24.206;247,63;99,43;3,01;12005;12201;4548;5243;10855;3560
3520103;Igarapava;468,36;29.560;63,11;95,55;2,77;14599;14961;5292;6127;13058;5083
3520202;Igaratá;292,95;9.354;31,93;86,11;2,86;4746;4608;1851;2165;3766;1572
3520301;Iguape;1978,8;29.555;14,94;87,79;2,93;14668;14887;5576;7225;11222;5532
3520400;Ilhabela;346,39;33.821;97,64;99,31;2,77;17028;16793;7125;7823;14953;3920
3520426;Ilha Comprida;196,57;10.410;52,96;100;2,8;5058;5352;2009;2464;3647;2290
3520442;Ilha Solteira;652,64;25.754;39,46;93,84;2,78;12421;13333;3962;5137;11253;5402
3520509;Indaiatuba;311,55;245.366;787,57;98,99;2,92;121414;123952;43450;54540;111953;35423
3520608;Indiana;129,37;4.771;36,88;88,39;2,71;2386;2385;808;962;2092;909
3520707;Indiaporã;279,61;3.847;13,76;90,85;2,59;1862;1985;646;697;1555;949
3520806;Inúbia Paulista;87,12;3.913;44,92;90,9;2,82;1947;1966;671;838;1692;712
3520905;Ipaussu;209,55;14.578;69,57;94,18;2,98;7312;7266;2818;3326;6108;2326
3521002;Iperó;170,29;34.800;204,36;61,71;3,2;18393;16407;6525;9517;14583;4175
3521101;Ipeúna;190,01;7.711;40,58;90,97;3;3947;3764;1470;1979;3289;973
3521150;Ipiguá;136,03;5.286;38,86;65,1;2,85;2657;2629;874;1176;2266;970
3521200;Iporanga;1152,06;4.424;3,84;66,57;3,09;2213;2211;996;1164;1593;671
3521309;Ipuã;466,46;16.001;34,3;96,88;2,84;8087;7914;3129;3714;7051;2107
3521408;Iracemápolis;115,12;23.907;207,67;98,25;2,99;11907;12000;4265;5229;10965;3448
3521507;Irapuã;257,61;7.767;30,15;92,39;2,86;4024;3743;1320;1626;3450;1371
3521606;Irapuru;214,46;7.295;34,02;70,71;3,28;4234;3061;917;2065;2845;1468
3521705;Itaberá;1100,25;17.615;16,01;76,67;2,88;8831;8784;3413;4163;6989;3050
3521804;Itaí;1092,88;26.725;24,45;78,52;3,07;14030;12695;5265;6323;11446;3691
3521903;Itajobi;502,07;14.602;29,08;88,19;2,7;7295;7307;2081;2772;6486;3263
3522000;Itaju;230,36;3.688;16,01;81,67;2,96;1906;1782;604;886;1562;636
3522109;Itanhaém;601,71;99.751;165,78;99,27;2,93;48020;51731;21349;24008;36946;17448
3522158;Itaoca;183,02;3.187;17,41;54,53;3;1652;1535;606;845;1130;606
3522208;Itapecerica da Serra;150,74;171.123;1135,22;99,17;3,15;85313;85810;38082;42333;71648;19060
3522307;Itapetininga;1789,35;161.509;90,26;92,14;3,08;80372;81137;31333;39847;66443;23886
3522406;Itapeva;1826,26;92.123;50,44;91,46;2,93;45384;46739;19407;22656;37259;12801
3522505;Itapevi;82,66;241.150;2917,37;100;3,04;118599;122551;55423;61639;99792;24296
3522604;Itapira;518,42;71.609;138,13;93,83;2,91;35266;36343;11089;14774;32126;13620
3522653;Itapirapuã Paulista;406,48;4.214;10,37;51,61;2,97;2139;2075;971;1177;1501;565
3522703;Itápolis;996,75;41.648;41,78;94;2,72;20534;21114;6596;8575;18688;7789
3522802;Itaporanga;508;14.710;28,96;81,87;2,83;7307;7403;2989;3318;5653;2750
3522901;Itapuí;140,02;13.913;99,36;97,12;2,96;6966;6947;2624;3227;5921;2141
3523008;Itapura;301,65;4.965;16,46;79,92;2,87;2532;2433;851;1210;2078;826
3523107;Itaquaquecetuba;82,62;374.997;4538,82;100;3,08;184390;190607;83237;96768;155433;39559
3523206;Itararé;1003,86;49.149;48,96;92,78;2,82;24071;25078;9806;11954;19688;7701
3523305;Itariri;273,67;17.442;63,73;71,99;2,93;8716;8726;3562;4837;6564;2479
3523404;Itatiba;322,28;119.084;369,5;87,37;2,91;58564;60520;20633;26221;54188;18042
3523503;Itatinga;979,82;20.752;21,18;93,58;3,08;10540;10212;4753;5021;8442;2536
3523602;Itirapina;564,6;17.284;30,61;92,69;3,54;10021;7263;2841;5095;7197;2151
3523701;Itirapuã;161,12;6.311;39,17;86,67;3,05;3182;3129;1201;1576;2519;1015
3523800;Itobi;138,99;7.608;54,74;94,32;2,89;3887;3721;1281;1668;3318;1341
3523909;Itu;640,72;170.938;266,79;95,22;2,97;84191;86747;32945;37313;75403;25277
3524006;Itupeva;200,82;60.255;300,04;93,85;2,98;30344;29911;12433;14127;26860;6835
3524105;Ituverava;704,66;40.333;57,24;94,15;2,77;19613;20720;6951;8490;17322;7570
