Cod_IBGE;Ano;Sexo;Idade;Óbitos
3500000;2021;Homens;00 a 04;3
3500000;2021;Homens;05 a 09;0
3500000;2021;Homens;10 a 14;0
3500000;2021;Homens;15 a 19;2
3500000;2021;Homens;20 a 24;18
3500000;2021;Homens;25 a 29;32
3500000;2021;Homens;30 a 34;53
3500000;2021;Homens;35 a 39;64
3500000;2021;Homens;40 a 44;92
3500000;2021;Homens;45 a 49;71
3500000;2021;Homens;50 a 54;80
3500000;2021;Homens;55 a 59;68
3500000;2021;Homens;60 a 64;71
3500000;2021;Homens;65 a 69;44
3500000;2021;Homens;70 a 74;19
3500000;2021;Homens;75 a 79;17
3500000;2021;Homens;80 a 84;4
3500000;2021;Homens;85 a 89;2
3500000;2021;Homens;90 e mais;2
3500000;2021;Homens;Ignorada;329
3500105;2021;Homens;00 a 04;4
3500105;2021;Homens;05 a 09;1
3500105;2021;Homens;10 a 14;1
3500105;2021;Homens;15 a 19;0
3500105;2021;Homens;20 a 24;2
3500105;2021;Homens;25 a 29;1
3500105;2021;Homens;30 a 34;2
3500105;2021;Homens;35 a 39;8
3500105;2021;Homens;40 a 44;7
3500105;2021;Homens;45 a 49;9
3500105;2021;Homens;50 a 54;16
3500105;2021;Homens;55 a 59;23
3500105;2021;Homens;60 a 64;19
3500105;2021;Homens;65 a 69;27
3500105;2021;Homens;70 a 74;25
3500105;2021;Homens;75 a 79;22
3500105;2021;Homens;80 a 84;34
3500105;2021;Homens;85 a 89;30
3500105;2021;Homens;90 e mais;13
3500105;2021;Homens;Ignorada;0
3500204;2021;Homens;00 a 04;1
3500204;2021;Homens;05 a 09;0
3500204;2021;Homens;10 a 14;0
3500204;2021;Homens;15 a 19;0
3500204;2021;Homens;20 a 24;0
3500204;2021;Homens;25 a 29;1
3500204;2021;Homens;30 a 34;1
3500204;2021;Homens;35 a 39;0
3500204;2021;Homens;40 a 44;4
3500204;2021;Homens;45 a 49;1
3500204;2021;Homens;50 a 54;0
3500204;2021;Homens;55 a 59;0
3500204;2021;Homens;60 a 64;5
3500204;2021;Homens;65 a 69;3
3500204;2021;Homens;70 a 74;7
3500204;2021;Homens;75 a 79;5
3500204;2021;Homens;80 a 84;5
3500204;2021;Homens;85 a 89;1
3500204;2021;Homens;90 e mais;0
3500204;2021;Homens;Ignorada;0
3500303;2021;Homens;00 a 04;3
3500303;2021;Homens;05 a 09;0
3500303;2021;Homens;10 a 14;0
3500303;2021;Homens;15 a 19;1
3500303;2021;Homens;20 a 24;1
3500303;2021;Homens;25 a 29;5
3500303;2021;Homens;30 a 34;8
3500303;2021;Homens;35 a 39;6
3500303;2021;Homens;40 a 44;4
3500303;2021;Homens;45 a 49;14
3500303;2021;Homens;50 a 54;22
3500303;2021;Homens;55 a 59;18
3500303;2021;Homens;60 a 64;17
3500303;2021;Homens;65 a 69;25
3500303;2021;Homens;70 a 74;24
3500303;2021;Homens;75 a 79;28
3500303;2021;Homens;80 a 84;22
3500303;2021;Homens;85 a 89;19
3500303;2021;Homens;90 e mais;10
3500303;2021;Homens;Ignorada;0
3500402;2021;Homens;00 a 04;0
3500402;2021;Homens;05 a 09;0
3500402;2021;Homens;10 a 14;0
3500402;2021;Homens;15 a 19;0
3500402;2021;Homens;20 a 24;0
3500402;2021;Homens;25 a 29;0
3500402;2021;Homens;30 a 34;2
3500402;2021;Homens;35 a 39;0
3500402;2021;Homens;40 a 44;2
3500402;2021;Homens;45 a 49;1
3500402;2021;Homens;50 a 54;1
3500402;2021;Homens;55 a 59;2
3500402;2021;Homens;60 a 64;5
3500402;2021;Homens;65 a 69;7
3500402;2021;Homens;70 a 74;6
3500402;2021;Homens;75 a 79;7
3500402;2021;Homens;80 a 84;8
3500402;2021;Homens;85 a 89;2
3500402;2021;Homens;90 e mais;5
3500402;2021;Homens;Ignorada;0
3500501;2021;Homens;00 a 04;0
3500501;2021;Homens;05 a 09;0
3500501;2021;Homens;10 a 14;0
3500501;2021;Homens;15 a 19;1
3500501;2021;Homens;20 a 24;2
3500501;2021;Homens;25 a 29;0
3500501;2021;Homens;30 a 34;2
3500501;2021;Homens;35 a 39;7
3500501;2021;Homens;40 a 44;4
3500501;2021;Homens;45 a 49;7
3500501;2021;Homens;50 a 54;10
3500501;2021;Homens;55 a 59;7
3500501;2021;Homens;60 a 64;12
3500501;2021;Homens;65 a 69;15
3500501;2021;Homens;70 a 74;10
3500501;2021;Homens;75 a 79;11
3500501;2021;Homens;80 a 84;16
3500501;2021;Homens;85 a 89;10
3500501;2021;Homens;90 e mais;6
3500501;2021;Homens;Ignorada;0
3500550;2021;Homens;00 a 04;0
3500550;2021;Homens;05 a 09;0
3500550;2021;Homens;10 a 14;0
3500550;2021;Homens;15 a 19;0
3500550;2021;Homens;20 a 24;0
3500550;2021;Homens;25 a 29;2
3500550;2021;Homens;30 a 34;0
3500550;2021;Homens;35 a 39;0
3500550;2021;Homens;40 a 44;1
3500550;2021;Homens;45 a 49;3
3500550;2021;Homens;50 a 54;5
3500550;2021;Homens;55 a 59;5
3500550;2021;Homens;60 a 64;3
3500550;2021;Homens;65 a 69;4
3500550;2021;Homens;70 a 74;4
3500550;2021;Homens;75 a 79;2
3500550;2021;Homens;80 a 84;4
3500550;2021;Homens;85 a 89;2
3500550;2021;Homens;90 e mais;1
3500550;2021;Homens;Ignorada;0
3500600;2021;Homens;00 a 04;0
3500600;2021;Homens;05 a 09;0
3500600;2021;Homens;10 a 14;0
3500600;2021;Homens;15 a 19;0
3500600;2021;Homens;20 a 24;0
3500600;2021;Homens;25 a 29;0
3500600;2021;Homens;30 a 34;1
3500600;2021;Homens;35 a 39;0
3500600;2021;Homens;40 a 44;0
3500600;2021;Homens;45 a 49;1
3500600;2021;Homens;50 a 54;1
3500600;2021;Homens;55 a 59;1
3500600;2021;Homens;60 a 64;5
3500600;2021;Homens;65 a 69;6
3500600;2021;Homens;70 a 74;4
3500600;2021;Homens;75 a 79;4
3500600;2021;Homens;80 a 84;1
3500600;2021;Homens;85 a 89;4
3500600;2021;Homens;90 e mais;5
3500600;2021;Homens;Ignorada;0
3500709;2021;Homens;00 a 04;5
3500709;2021;Homens;05 a 09;0
3500709;2021;Homens;10 a 14;0
3500709;2021;Homens;15 a 19;1
3500709;2021;Homens;20 a 24;4
3500709;2021;Homens;25 a 29;3
3500709;2021;Homens;30 a 34;1
3500709;2021;Homens;35 a 39;8
3500709;2021;Homens;40 a 44;9
3500709;2021;Homens;45 a 49;15
3500709;2021;Homens;50 a 54;11
3500709;2021;Homens;55 a 59;20
3500709;2021;Homens;60 a 64;20
3500709;2021;Homens;65 a 69;30
3500709;2021;Homens;70 a 74;25
3500709;2021;Homens;75 a 79;20
3500709;2021;Homens;80 a 84;25
3500709;2021;Homens;85 a 89;9
3500709;2021;Homens;90 e mais;12
3500709;2021;Homens;Ignorada;0
3500758;2021;Homens;00 a 04;0
3500758;2021;Homens;05 a 09;0
3500758;2021;Homens;10 a 14;1
3500758;2021;Homens;15 a 19;0
3500758;2021;Homens;20 a 24;0
3500758;2021;Homens;25 a 29;0
3500758;2021;Homens;30 a 34;0
3500758;2021;Homens;35 a 39;1
3500758;2021;Homens;40 a 44;1
3500758;2021;Homens;45 a 49;1
3500758;2021;Homens;50 a 54;0
3500758;2021;Homens;55 a 59;2
3500758;2021;Homens;60 a 64;2
3500758;2021;Homens;65 a 69;9
3500758;2021;Homens;70 a 74;4
3500758;2021;Homens;75 a 79;2
3500758;2021;Homens;80 a 84;7
3500758;2021;Homens;85 a 89;3
3500758;2021;Homens;90 e mais;4
3500758;2021;Homens;Ignorada;0
3500808;2021;Homens;00 a 04;0
3500808;2021;Homens;05 a 09;0
3500808;2021;Homens;10 a 14;0
3500808;2021;Homens;15 a 19;0
3500808;2021;Homens;20 a 24;1
3500808;2021;Homens;25 a 29;2
3500808;2021;Homens;30 a 34;0
3500808;2021;Homens;35 a 39;0
3500808;2021;Homens;40 a 44;0
3500808;2021;Homens;45 a 49;1
3500808;2021;Homens;50 a 54;1
3500808;2021;Homens;55 a 59;1
3500808;2021;Homens;60 a 64;1
3500808;2021;Homens;65 a 69;6
3500808;2021;Homens;70 a 74;3
3500808;2021;Homens;75 a 79;7
3500808;2021;Homens;80 a 84;6
3500808;2021;Homens;85 a 89;4
3500808;2021;Homens;90 e mais;3
3500808;2021;Homens;Ignorada;0
3500907;2021;Homens;00 a 04;1
3500907;2021;Homens;05 a 09;0
3500907;2021;Homens;10 a 14;0
3500907;2021;Homens;15 a 19;0
3500907;2021;Homens;20 a 24;0
3500907;2021;Homens;25 a 29;1
3500907;2021;Homens;30 a 34;0
3500907;2021;Homens;35 a 39;1
3500907;2021;Homens;40 a 44;1
3500907;2021;Homens;45 a 49;0
3500907;2021;Homens;50 a 54;1
3500907;2021;Homens;55 a 59;3
3500907;2021;Homens;60 a 64;1
3500907;2021;Homens;65 a 69;3
3500907;2021;Homens;70 a 74;1
3500907;2021;Homens;75 a 79;1
3500907;2021;Homens;80 a 84;1
3500907;2021;Homens;85 a 89;3
3500907;2021;Homens;90 e mais;2
3500907;2021;Homens;Ignorada;0
3501004;2021;Homens;00 a 04;0
3501004;2021;Homens;05 a 09;0
3501004;2021;Homens;10 a 14;0
3501004;2021;Homens;15 a 19;1
3501004;2021;Homens;20 a 24;2
3501004;2021;Homens;25 a 29;0
3501004;2021;Homens;30 a 34;1
3501004;2021;Homens;35 a 39;2
3501004;2021;Homens;40 a 44;5
3501004;2021;Homens;45 a 49;4
3501004;2021;Homens;50 a 54;4
3501004;2021;Homens;55 a 59;6
3501004;2021;Homens;60 a 64;10
3501004;2021;Homens;65 a 69;14
3501004;2021;Homens;70 a 74;15
3501004;2021;Homens;75 a 79;16
3501004;2021;Homens;80 a 84;13
3501004;2021;Homens;85 a 89;16
3501004;2021;Homens;90 e mais;7
3501004;2021;Homens;Ignorada;0
3501103;2021;Homens;00 a 04;1
3501103;2021;Homens;05 a 09;0
3501103;2021;Homens;10 a 14;1
3501103;2021;Homens;15 a 19;1
3501103;2021;Homens;20 a 24;0
3501103;2021;Homens;25 a 29;0
3501103;2021;Homens;30 a 34;1
3501103;2021;Homens;35 a 39;1
3501103;2021;Homens;40 a 44;1
3501103;2021;Homens;45 a 49;1
3501103;2021;Homens;50 a 54;4
3501103;2021;Homens;55 a 59;2
3501103;2021;Homens;60 a 64;4
3501103;2021;Homens;65 a 69;4
3501103;2021;Homens;70 a 74;4
3501103;2021;Homens;75 a 79;7
3501103;2021;Homens;80 a 84;0
3501103;2021;Homens;85 a 89;10
3501103;2021;Homens;90 e mais;1
3501103;2021;Homens;Ignorada;0
3501152;2021;Homens;00 a 04;4
3501152;2021;Homens;05 a 09;0
3501152;2021;Homens;10 a 14;0
3501152;2021;Homens;15 a 19;0
3501152;2021;Homens;20 a 24;1
3501152;2021;Homens;25 a 29;1
3501152;2021;Homens;30 a 34;1
3501152;2021;Homens;35 a 39;5
3501152;2021;Homens;40 a 44;3
3501152;2021;Homens;45 a 49;6
3501152;2021;Homens;50 a 54;10
3501152;2021;Homens;55 a 59;12
3501152;2021;Homens;60 a 64;12
3501152;2021;Homens;65 a 69;22
3501152;2021;Homens;70 a 74;6
3501152;2021;Homens;75 a 79;6
3501152;2021;Homens;80 a 84;9
3501152;2021;Homens;85 a 89;2
3501152;2021;Homens;90 e mais;6
3501152;2021;Homens;Ignorada;0
3501202;2021;Homens;00 a 04;0
3501202;2021;Homens;05 a 09;0
3501202;2021;Homens;10 a 14;0
3501202;2021;Homens;15 a 19;0
3501202;2021;Homens;20 a 24;0
3501202;2021;Homens;25 a 29;1
3501202;2021;Homens;30 a 34;1
3501202;2021;Homens;35 a 39;0
3501202;2021;Homens;40 a 44;0
3501202;2021;Homens;45 a 49;2
3501202;2021;Homens;50 a 54;1
3501202;2021;Homens;55 a 59;3
3501202;2021;Homens;60 a 64;3
3501202;2021;Homens;65 a 69;1
3501202;2021;Homens;70 a 74;6
3501202;2021;Homens;75 a 79;4
3501202;2021;Homens;80 a 84;0
3501202;2021;Homens;85 a 89;1
3501202;2021;Homens;90 e mais;1
3501202;2021;Homens;Ignorada;0
3501301;2021;Homens;00 a 04;1
3501301;2021;Homens;05 a 09;0
3501301;2021;Homens;10 a 14;0
3501301;2021;Homens;15 a 19;0
3501301;2021;Homens;20 a 24;0
3501301;2021;Homens;25 a 29;6
3501301;2021;Homens;30 a 34;3
3501301;2021;Homens;35 a 39;3
3501301;2021;Homens;40 a 44;1
3501301;2021;Homens;45 a 49;6
3501301;2021;Homens;50 a 54;10
3501301;2021;Homens;55 a 59;14
3501301;2021;Homens;60 a 64;13
3501301;2021;Homens;65 a 69;21
3501301;2021;Homens;70 a 74;25
3501301;2021;Homens;75 a 79;13
3501301;2021;Homens;80 a 84;18
3501301;2021;Homens;85 a 89;12
3501301;2021;Homens;90 e mais;11
3501301;2021;Homens;Ignorada;0
3501400;2021;Homens;00 a 04;0
3501400;2021;Homens;05 a 09;0
3501400;2021;Homens;10 a 14;0
3501400;2021;Homens;15 a 19;0
3501400;2021;Homens;20 a 24;0
3501400;2021;Homens;25 a 29;0
3501400;2021;Homens;30 a 34;1
3501400;2021;Homens;35 a 39;1
3501400;2021;Homens;40 a 44;1
3501400;2021;Homens;45 a 49;3
3501400;2021;Homens;50 a 54;2
3501400;2021;Homens;55 a 59;0
3501400;2021;Homens;60 a 64;3
3501400;2021;Homens;65 a 69;4
3501400;2021;Homens;70 a 74;2
3501400;2021;Homens;75 a 79;4
3501400;2021;Homens;80 a 84;2
3501400;2021;Homens;85 a 89;0
3501400;2021;Homens;90 e mais;1
3501400;2021;Homens;Ignorada;0
3501509;2021;Homens;00 a 04;1
3501509;2021;Homens;05 a 09;0
3501509;2021;Homens;10 a 14;0
3501509;2021;Homens;15 a 19;2
3501509;2021;Homens;20 a 24;0
3501509;2021;Homens;25 a 29;0
3501509;2021;Homens;30 a 34;0
3501509;2021;Homens;35 a 39;0
3501509;2021;Homens;40 a 44;0
3501509;2021;Homens;45 a 49;0
3501509;2021;Homens;50 a 54;0
3501509;2021;Homens;55 a 59;0
3501509;2021;Homens;60 a 64;1
3501509;2021;Homens;65 a 69;2
3501509;2021;Homens;70 a 74;4
3501509;2021;Homens;75 a 79;4
3501509;2021;Homens;80 a 84;0
3501509;2021;Homens;85 a 89;2
3501509;2021;Homens;90 e mais;1
3501509;2021;Homens;Ignorada;0
3501608;2021;Homens;00 a 04;16
3501608;2021;Homens;05 a 09;2
3501608;2021;Homens;10 a 14;0
3501608;2021;Homens;15 a 19;2
3501608;2021;Homens;20 a 24;13
3501608;2021;Homens;25 a 29;13
3501608;2021;Homens;30 a 34;15
3501608;2021;Homens;35 a 39;34
3501608;2021;Homens;40 a 44;47
3501608;2021;Homens;45 a 49;63
3501608;2021;Homens;50 a 54;101
3501608;2021;Homens;55 a 59;117
3501608;2021;Homens;60 a 64;131
3501608;2021;Homens;65 a 69;152
3501608;2021;Homens;70 a 74;142
3501608;2021;Homens;75 a 79;139
3501608;2021;Homens;80 a 84;113
3501608;2021;Homens;85 a 89;111
3501608;2021;Homens;90 e mais;54
3501608;2021;Homens;Ignorada;0
3501707;2021;Homens;00 a 04;2
3501707;2021;Homens;05 a 09;0
