"cod_ibge";"municipio";"ano";"populacao"
3500105;"Adamantina";2000;33484
3500105;"Adamantina";2001;33577
3500105;"Adamantina";2002;33636
3500105;"Adamantina";2003;33677
3500105;"Adamantina";2004;33715
3500105;"Adamantina";2005;33764
3500105;"Adamantina";2006;33784
3500105;"Adamantina";2007;33791
3500105;"Adamantina";2008;33781
3500105;"Adamantina";2009;33765
3500105;"Adamantina";2010;33794
3500105;"Adamantina";2011;33811
3500105;"Adamantina";2012;33828
3500105;"Adamantina";2013;33845
3500105;"Adamantina";2014;33862
3500105;"Adamantina";2015;33879
3500105;"Adamantina";2016;33882
3500105;"Adamantina";2017;33885
3500105;"Adamantina";2018;33888
3500105;"Adamantina";2019;33891
3500105;"Adamantina";2020;33894
3500105;"Adamantina";2021;33869
3500204;"Adolfo";2000;3680
3500204;"Adolfo";2001;3685
3500204;"Adolfo";2002;3674
3500204;"Adolfo";2003;3666
3500204;"Adolfo";2004;3655
3500204;"Adolfo";2005;3644
3500204;"Adolfo";2006;3642
3500204;"Adolfo";2007;3629
3500204;"Adolfo";2008;3604
3500204;"Adolfo";2009;3581
3500204;"Adolfo";2010;3558
3500204;"Adolfo";2011;3547
3500204;"Adolfo";2012;3535
3500204;"Adolfo";2013;3523
3500204;"Adolfo";2014;3512
3500204;"Adolfo";2015;3501
3500204;"Adolfo";2016;3490
3500204;"Adolfo";2017;3479
3500204;"Adolfo";2018;3469
3500204;"Adolfo";2019;3458
3500204;"Adolfo";2020;3447
3500204;"Adolfo";2021;3436
3500303;"Aguaí";2000;28145
3500303;"Aguaí";2001;28586
3500303;"Aguaí";2002;28995
3500303;"Aguaí";2003;29407
3500303;"Aguaí";2004;29798
3500303;"Aguaí";2005;30184
3500303;"Aguaí";2006;30598
3500303;"Aguaí";2007;30994
3500303;"Aguaí";2008;31367
3500303;"Aguaí";2009;31730
3500303;"Aguaí";2010;32113
3500303;"Aguaí";2011;32464
3500303;"Aguaí";2012;32820
3500303;"Aguaí";2013;33179
3500303;"Aguaí";2014;33542
3500303;"Aguaí";2015;33909
3500303;"Aguaí";2016;34242
3500303;"Aguaí";2017;34578
3500303;"Aguaí";2018;34919
3500303;"Aguaí";2019;35261
3500303;"Aguaí";2020;35608
3500303;"Aguaí";2021;35885
3500402;"Águas da Prata";2000;7127
3500402;"Águas da Prata";2001;7178
3500402;"Águas da Prata";2002;7229
3500402;"Águas da Prata";2003;7269
3500402;"Águas da Prata";2004;7297
3500402;"Águas da Prata";2005;7330
3500402;"Águas da Prata";2006;7370
3500402;"Águas da Prata";2007;7419
3500402;"Águas da Prata";2008;7479
3500402;"Águas da Prata";2009;7534
3500402;"Águas da Prata";2010;7580
3500402;"Águas da Prata";2011;7604
3500402;"Águas da Prata";2012;7628
3500402;"Águas da Prata";2013;7652
3500402;"Águas da Prata";2014;7676
3500402;"Águas da Prata";2015;7700
3500402;"Águas da Prata";2016;7720
3500402;"Águas da Prata";2017;7739
3500402;"Águas da Prata";2018;7758
